atoms energy
6Zn2-8-30 -5.79
8Zn4-8-25-61-62 -10.29
1Zn5-27-28-29-30-61 -14.66
10Zn1-10 -2.25
8Zn6-9-12-26-61-63-66 -14.5
Zn4-3-10-15-23 -10.28
3Zn2-27-29 -6.3
8Zn6-25-28-29-46-63-66 -16.45
9Zn4-7-10-11-25 -8.22
Zn4-7-10-15-23 -11.3
10Zn1-11 -2.25
Zn4-3-13-18-20 -8.9
8Zn6-25-26-27-28-30-62 -16.31
7Zn5-28-29-43-44-63 -13.66
8Zn6-26-27-28-29-45-61 -16.47
6Zn5-25-28-45-46-66 -14.04
6Zn5-28-29-45-46-66 -14.04
8Zn4-9-10-62-65 -9.42
1Zn3-25-26-28 -9.58
4Zn5-26-27-29-30-65 -14.5
2Zn2-27-30 -6.95
9Zn4-8-10-11-12 -3.95
8Zn5-26-27-29-44-64 -14.5
3Zn3-25-28-63 -9.48
7Zn1-64 -2.44
Zn2-3-11 -5.66
Zn5-3-8-12-15-19 -12.91
6Zn5-27-30-45-46-65 -14.04
3Zn6-25-27-45-46-65-66 -15.62
7Zn3-25-26-64 -9.26
7Zn6-26-27-28-45-65-66 -16.61
7Zn4-29-30-47-62 -11.5
6Zn1-30 -3.5
Zn1-13 -2.18
Zn1-14 -2.18
7Zn6-11-12-27-45-62-63 -14.35
1Zn3-25-27-28 -9.58
8Zn5-8-27-29-45-47 -12.38
7Zn6-29-30-47-48-61-62 -16.31
8Zn6-9-25-26-44-46-64 -15.31
1Zn1-28 -3.5
8Zn6-10-25-26-43-64-65 -15.73
Zn3-2-7-19 -7.73
5Zn1-7 -2.25
Zn5-4-5-8-12-23 -12.85
Zn2-14-23 -4.41
1Zn1-30 -3.5
Zn3-1-21-22 -7.25
Zn1-1 -2.25
9Zn3-7-10-12 -4.98
1Zn5-25-26-27-28-66 -14.66
5Zn3-28-29-62 -9.0
7Zn6-25-26-27-28-63-66 -16.76
4Zn5-25-28-29-30-66 -14.5
8Zn6-9-10-26-47-62-63 -14.62
7Zn3-29-30-61 -9.26
8Zn6-25-28-29-30-47-63 -16.47
9Zn6-7-8-9-12-44-48 -8.33
8Zn6-26-27-29-30-48-64 -16.47
10Zn2-8-12 -2.75
7Zn5-25-26-44-63-64 -14.04
6Zn6-25-28-29-30-62-66 -16.19
7Zn3-27-28-65 -9.26
Zn1-2 -2.25
8Zn6-9-10-25-26-46-47 -15.67
Zn2-2-7 -5.66
Zn6-4-5-7-11-20-23 -14.44
7Zn5-25-26-29-43-64 -14.35
10Zn2-10-48 -4.37
8Zn6-25-29-30-46-47-62 -16.41
5Zn6-12-25-28-43-63-64 -16.16
4Zn3-27-29-30 -9.58
2Zn5-25-28-29-63-66 -14.37
7Zn6-11-27-28-45-64-65 -15.48
Zn2-13-23 -4.41
10Zn2-7-47 -4.34
6Zn1-10 -2.25
10Zn1-12 -2.25
3Zn3-28-29-61 -9.48
9Zn6-7-8-9-10-29-61 -11.37
2Zn5-26-28-29-61-66 -14.37
6Zn1-26 -3.5
7Zn6-11-12-28-45-62-63 -14.35
1Zn6-7-8-29-30-61-62 -16.23
Zn2-9-24 -5.9
8Zn5-7-9-28-47-66 -10.34
8Zn5-7-8-29-30-48 -13.33
6Zn6-27-28-29-30-62-65 -16.76
4Zn6-25-26-27-30-62-65 -16.63
10Zn2-11-45 -4.34
2Zn3-25-28-30 -9.63
3Zn5-26-28-44-63-64 -13.33
8Zn6-7-28-29-43-47-62 -14.89
10Zn1-43 -2.18
8Zn6-25-26-29-30-44-47 -17.0
1Zn2-27-28 -6.79
1Zn3-25-26-27 -9.58
10Zn1-44 -2.18
Zn4-5-6-19-20 -9.49
7Zn6-11-27-28-45-62-65 -15.48
1Zn4-27-28-29-30 -12.43
2Zn4-25-28-29-66 -12.2
5Zn5-11-12-27-28-61 -13.48
Zn3-8-9-15 -9.15
Zn6-1-6-7-14-17-20 -14.43
7Zn5-25-26-43-63-64 -14.04
Zn5-7-12-17-23-24 -12.95
Zn4-11-12-15-24 -11.22
7Zn6-26-29-30-48-61-62 -16.63
8Zn5-27-28-29-30-46 -14.71
1Zn6-27-28-29-30-62-66 -16.32
8Zn3-10-61-65 -6.82
Zn5-1-4-11-13-22 -12.69
8Zn6-26-28-29-48-61-64 -16.47
7Zn6-11-12-28-46-62-63 -14.35
8Zn6-11-12-25-28-46-65 -15.55
8Zn3-44-47-66 -6.46
2Zn6-26-28-30-62-64-66 -11.6
1Zn3-27-28-30 -9.58
3Zn2-25-27 -6.28
8Zn3-7-9-28 -5.86
8Zn5-25-26-27-28-47 -14.75
Zn3-5-11-24 -8.17
7Zn3-27-28-66 -9.26
Zn3-1-9-15 -7.77
2Zn4-26-27-30-65 -12.2
Zn4-2-12-17-24 -9.89
3Zn5-26-30-44-63-64 -13.33
8Zn2-12-45 -4.44
7Zn4-7-11-27-48 -8.38
Zn6-2-6-8-12-13-14 -12.23
8Zn6-9-10-25-26-44-45 -15.62
4Zn6-9-12-26-61-62-63 -14.64
6Zn1-27 -3.5
7Zn5-11-30-43-44-47 -11.74
1Zn1-27 -3.5
8Zn6-8-9-29-62-63-65 -13.82
Zn5-2-4-11-14-24 -10.52
10Zn1-48 -2.18
1Zn1-26 -3.5
Zn3-1-14-21 -6.99
Zn5-7-10-12-16-21 -14.24
5Zn6-25-28-43-44-63-64 -16.25
2Zn2-25-30 -6.95
7Zn6-25-26-28-43-63-64 -16.63
7Zn2-62-65 -4.82
10Zn2-7-48 -4.44
